Nama Bahan Makanan,Air,Energi,Protein,Lemak,Karbohidrat,Serat,Abu,Kalsium,Fosfor,Besi,Natrium,Kalium,Tembaga,Seng,Retinol,Beta-karoten,Karoten total,Vitamin B1,Vitamin B2,Niasin,Vitamin C,BDD,Mentah/Olahan,Kelompok Makanan
"Soto betawi, masakan",75.9,135.0,2.5,8.8,11.5,0.5,1.3,222.0,72.0,1.9,,,,,6.0,,336.0,0.04,,,,100.0,Olahan,Daging
"Soto kudus, masakan",91.6,38.0,2.6,2.3,1.8,0.2,1.7,237.0,67.0,1.7,,,,,23.0,,128.0,0.06,,0.5,,100.0,Olahan,Daging
"Soto madura, masakan",89.8,60.0,3.5,4.5,1.3,,0.9,361.0,126.0,3.8,,,,,26.0,,121.0,0.06,,,,100.0,Olahan,Daging
"Soto padang, masakan",75.0,127.0,5.9,6.6,11.0,0.7,2.0,298.0,94.0,1.5,,,,,12.0,,204.0,0.22,,,,100.0,Olahan,Daging
"Soto pekalongan, masakan",83.8,94.0,3.0,6.8,5.1,0.3,1.3,322.0,79.0,2.0,,,,,14.0,,119.0,0.29,,,,100.0,Olahan,Daging
"Soto pemalang, masakan",86.0,75.0,3.6,5.2,3.5,,1.7,170.0,80.0,2.1,,,,,16.0,,30.0,0.13,,,,100.0,Olahan,Daging
"Soto sukaraja, masakan",75.9,80.0,3.2,3.5,9.0,0.3,1.1,347.0,77.0,2.3,,,,,12.0,,89.0,0.04,,,,100.0,Olahan,Daging
"Soto sulung, masakan",88.1,86.0,2.3,8.5,,,1.1,200.0,120.0,2.9,,,,,20.0,,105.0,0.08,,,,100.0,Olahan,Daging
"Taoge, goreng",79.2,88.0,3.2,2.1,14.0,0.7,1.5,168.0,50.0,5.7,,,,,2.0,,613.0,0.05,,,,100.0,Olahan,Sayur
"Taoge, seduh",91.9,28.0,3.0,0.8,4.0,1.0,0.3,52.0,73.0,0.5,18.0,58.3,0.19,0.4,,46.0,18.0,0.1,,0.9,2.0,87.0,Olahan,Sayur
"Taoge, segar",90.4,34.0,3.7,1.2,4.3,1.1,0.4,166.0,74.0,0.8,19.0,93.3,0.16,0.4,,41.0,20.0,0.09,,1.1,5.0,100.0,Tunggal,Sayur
"Telur ayam ras, segar",74.3,154.0,12.4,10.8,0.7,,0.8,86.0,258.0,3.0,142.0,118.5,0.16,1.0,61.0,22.0,104.0,0.12,0.38,0.2,,89.0,Tunggal,Telur
"Telur ayam, dadar, masakan",61.9,251.0,16.3,19.4,1.4,,1.0,62.0,250.0,2.5,,,,,36.0,,221.0,0.21,,,,100.0,Olahan,Telur
"Telur bebek, dadar, masakan",55.1,301.0,20.0,23.7,,,1.2,71.0,600.0,9.2,,,,,122.0,,613.0,0.35,,,,100.0,Olahan,Telur
"Terung belanda, segar",87.3,52.0,2.1,1.1,8.6,1.4,1.0,16.0,40.0,1.1,,,,,,,8.048,0.42,0.06,,12.0,100.0,Tunggal,Sayur
"Terung bengkulu, segar",86.6,52.0,1.1,0.4,11.2,3.2,0.8,19.0,39.0,1.1,14.0,,0.16,1.0,,85.0,600.0,0.23,0.04,0.0,6.0,100.0,Tunggal,Sayur
Terung panjang,91.8,25.0,2.1,0.1,5.3,0.5,0.7,38.0,24.0,0.7,9.0,53.7,0.09,0.2,,83.0,24.0,0.15,0.06,0.7,8.0,100.0,Tunggal,Sayur
"Terung panjang, kukus",92.7,23.0,1.8,0.1,4.9,0.4,0.5,40.0,13.0,0.5,9.0,57.0,67.1,0.2,,99.0,20.0,,0.07,0.7,1.0,100.0,Olahan,Sayur
"Tomat merah, segar",92.9,24.0,1.3,0.5,4.7,,0.6,8.0,77.0,0.6,10.0,164.9,0.14,0.2,,575.0,2.083,0.06,0.07,0.4,34.0,100.0,Tunggal,Sayur
Tumis bayam bersantan,91.2,48.0,1.4,4.2,2.6,0.5,0.6,129.0,27.0,0.8,,,,,,,2.988,0.01,,,22.0,100.0,Olahan,Sayur
"Uceng/ bunga melinjo, segar",79.5,82.0,5.8,1.3,11.7,4.8,1.7,70.0,266.0,2.4,,,,,,,58.0,0.11,0.15,,3.0,89.0,Tunggal,Sayur
"Wortel, kukus",89.5,37.0,1.0,0.6,8.3,1.1,0.6,44.0,30.0,0.6,43.0,122.5,0.11,0.3,,3.994,7.15,0.02,0.03,0.8,14.0,100.0,Olahan,Sayur
"Wortel, rebus",92.1,28.0,0.7,0.5,6.3,0.8,0.4,46.0,28.0,0.6,41.0,117.3,0.1,0.2,,3.824,5.396,0.01,0.03,0.7,12.0,100.0,Olahan,Sayur
"Wortel, segar",89.9,36.0,1.0,0.6,7.9,1.0,0.6,45.0,74.0,1.0,70.0,245.0,0.06,0.3,,3.784,7.125,0.04,0.04,1.0,18.0,80.0,Tunggal,Sayur
"Kacang merah kering, rebus",59.6,158.0,10.3,0.9,28.2,2.6,1.0,160.0,149.0,3.7,6.0,311.0,0.27,1.5,,,,0.2,0.09,0.8,,100.0,Olahan,Kacang
"Kacang merah segar, rebus",63.1,144.0,10.0,1.0,24.7,3.5,1.2,144.0,150.0,2.8,6.0,311.0,0.27,1.5,,,,0.1,0.08,0.7,,100.0,Olahan,Kacang
"Kacang merah tua, kering",12.3,280.0,16.7,1.6,63.2,4.6,6.2,209.0,335.0,6.4,,,0.69,2.8,,,,0.1,0.08,2.0,6.0,100.0,Tunggal,Kacang
"Kacang merah, kering",17.7,314.0,22.1,1.1,56.2,4.0,2.9,502.0,429.0,10.3,11.0,,0.65,2.6,,,,0.4,0.72,2.2,,100.0,Tunggal,Kacang
"Kacang merah, segar",57.2,171.0,11.0,2.2,28.0,2.1,1.7,293.0,134.0,3.7,7.0,360.7,0.34,1.4,,,10.0,0.15,0.15,1.1,,100.0,Tunggal,Kacang
Kacang tanah sangan,1.2,560.0,29.5,43.0,24.1,2.9,2.2,107.0,366.0,4.1,34.0,509.8,1.69,2.1,,,,0.31,0.3,15.5,,100.0,Tunggal,Kacang
"Kacang tanah, goreng",2.5,564.0,25.5,44.4,25.5,2.8,2.8,106.0,390.0,4.1,,,,,,,,0.4,,,,100.0,Olahan,Kacang
"Kacang tanah, kering",9.6,525.0,27.9,42.7,17.4,2.4,2.4,316.0,456.0,5.7,31.0,466.5,1.55,1.9,,,30.0,0.44,0.27,1.4,,100.0,Tunggal,Kacang
"Kacang tanah, rebus",62.1,220.0,10.6,18.0,8.0,1.0,1.3,89.0,273.0,1.9,36.0,536.2,1.78,2.2,,,,0.1,,,,100.0,Olahan,Kacang
